,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordedDate,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q10,Q11,Q12,Q13,Q14,,Q16,Q17,Q18,Q19,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8
2021-08-31 14:44:10,Student_10,Neither -- Borderline,An effective manager,3,4,Work out a compromise,Enthusiastic and outgoing,Comfortable,Comfortable,Beginner,Experienced,Comfortable,Experienced,Experienced,Beginner,Beginner,Beginner,Comfortable,Experienced,UCAR,"The premise of educating users on their impact to the environment interests me, especially in a way that can convey the information through a in depth graphical interface.",Northrop Grumman,"I've always been interested in Northrop Grumman and their work, and last semester I took a thorough dive into quantum computing and the theory behind it. This project feels like a great way to put theory to practice as well get hands on experience with imbedded systems.",L3Harris,The process of working with these simulated sensors and creating system to collect and sort through the retrieved data looks to be very worth while. As well with how open our approach is I believe this would be a great chance to implement the software development skills and techniques I've been polishing while at CU.,CU E-BIO Department,"Until not long ago I used to have two apple trees at my parents home, unfortunately they have been cut down, but I find the idea of tracing and recording the history of other such plants in Boulder to be an enjoyable endeavor that would also grant me valuable full stack experience.",Union Pacific PST,"Along with procedural generation, system and algorithm based optimization has always been interests of mine and this project would be a great way to train in these skills. Furthermore I have experience using Unity that I could use.",,,,,,,,,,
2021-08-31 15:17:12,Student_11,Neither -- Borderline,A natural leader,5,4,Work out a compromise,"Friendly,Enthusiastic and outgoing",Beginner,Beginner,Beginner,Beginner,Comfortable,Experienced,Experienced,Comfortable,No Knowledge,Beginner,Comfortable,Experienced,Northrop Grumman,"This project is by far and away my top choice for several reasons. Additionally, I am a US Citzen. 

As for my background, I am a non-traditional student. I am a 35-year-old veteran and former defense contractor. Right now, I am changing careers into computer science and engineering. However, before enrolling at CU, I had a ten-year career in the US military and defense sectors. Additionally, I previously held a Top-Secret SCI security clearance. My clearance was eventually archived due to pursuing computer science at CU since 2018.

Working at Northrop Grumman is a pursuit of mine; I interviewed there for a potential sensor operator and imagery analyst position in 2014. Even though this was for a job related to my previous career, I have always wanted to re-enter the defense sector as a software engineer. Doing so at Northrop Grumman and being a part of their Quantum computing and AI projects is highly compelling. Additionally, I would be able to incorporate my previous defense industry experience when and where appropriate. 

After being accepted to the computer science dual degree BS/MS program, I decided to focus my coursework on numerical computation and AI. I am still a novice in these areas as I have not taken the classes surrounding these fields of computer science. However, in the project description, I noticed that these skills are not hard requirements and that students only need to be interested in AI, Quantum Computing, and Embedded Programming. Not only am I interested in all three of these areas, but I am also a highly motivated and disciplined individual who is willing and ready to learn.

Last, I have always wanted to start building experience using OpenCV and TensorFlow. Receiving exposure to these technologies and Quantum Computing with IBM Qiskit and Google Cirq is a tremendous learning opportunity and one that I will not take for granted.",UCAR,"My motivation for this project surrounds climate change and environmental education. I believe it is essential to educate and provide learning opportunities regarding climate science and the impacts of humans on the climate and planet. 

Designing a web application that addresses these areas would be a great project. Additionally, I appreciate the openness and flexibility of the project sponsor regarding the technologies, libraries, and frameworks used in the project. Moreover, working with NCAR scientists is a great opportunity. 

Last, the idea of taking a physical exhibit and re-implementing it as a digital web application is a fun and exciting challenge. ",L3Harris,"My motivation for this project stems from the same reasons as my first project preference. The project requirements are a bit outside of my wheelhouse at the moment. However, I am ready and willing to learn.  

Re-entering the the defense industry as a computer scientist and software engineer is a principal interest of mine. This project would be a great opportunity for gaining exposure to the software and engineering aspects of the military and defense sectors as well as further develop my knowledge of computer networking.",CU E-BIO Department,"My motivation for this project stems from wanting to develop my mobile application development skills. I have some experience in Android app development, albeit minimal. I appreciate the openness and flexibility of the project sponsor regarding the technologies, libraries, and frameworks used in the project. Additionally, this would give me an excellent opportunity to work on a team to further build on my mobile application development experience. ","BI Inc., #1","My motivation for this project stems from wanting to develop my embedded development skills. Additionally, I am curious about learning about GPS independent device positioning solutions.I also appreciate the openness and flexibility of the project sponsor regarding the technologies, libraries, and frameworks used in the project. Last, this would give me an excellent opportunity to work on a team to further build on my embedded development experience. ",,,,,,,,,,
2021-08-31 16:18:37,Student_12,An INTROVERT,None of the above,4,3,Work out a compromise,"Shy,Friendly",Beginner,Beginner,No Knowledge,Comfortable,Comfortable,Beginner,No Knowledge,No Knowledge,No Knowledge,Beginner,Beginner,Comfortable,NASA/JPL,"I really like space, so much so that I am getting a minor in the subject. I'd like to get experience that would look good in the newly formed  Saudi Space Commission when I graduate and go back to Saudi Arabia.",CU Psychology Department,I recognized this project from when I participated in a study that measured how recognizable faces from other ethnic backgrounds are. When I finished participating I remember thinking that I wanted to do something similar to the computer application I saw. I also want to have experience with mobile apps.,MindBeWell,I use a mood tracking app that is similar to this project and I feel like I can have constructive input on how the UX should be like. ,UCAR,I care about the environment and want to work on accessible web apps.,Lockheed-Martin,I like space and want to work with NLP and AI. ,,,,,,,,,,
2021-08-31 17:39:02,Student_13,An EXTROVERT,An effective manager,5,4,Work out a compromise,"Friendly,Enthusiastic and outgoing",Experienced,Comfortable,Beginner,Experienced,Experienced,Experienced,Expert,No Knowledge,Comfortable,Beginner,Experienced,Expert,NASA/JPL,"Since I have been fortunate enough to have had an internship at JPL, I understand the requirements and the effort it takes to complete a project. The collaborative environment at JPL is like no other I have been a part of and I believe I excel being a part of a team oriented project. I am also very comfortable with Java; however, I am always looking to improve my understanding of it and I believe this JPL project will do just that.",Northrop Grumman,"I am fascinated by the effort of pushing our understanding of computer science to the absolute limit. Northrop Grumman's project seems to be at the forefront of our understanding. Since I have experience in embedded programming and am currently taking Artificial Intelligence, I believe the Northrop Grumman project would be an exciting project to work on.",L3Harris,I have always been interested in networking and the difficulties that comes with it. I believe my excitement of learning more about how to create a reliable and secure network would make this project very enjoyable to work on.,Lockheed-Martin,"I have a lot of the skills that Lockheed requires for this project. I am very comfortable programming in Java, C#, and Python, I have a large amount of experience using React as a framework to create simple UI, and I have experience being a system engineer at my time at NASA JPL. This project would probably the most comfortable I would be in from a technical skill standpoint.",Zayo,"Zayo is in the field of connecting businesses and organizations reliably. I am interested in the networking side of things for the project and also have experience in some of the skill requirements. Such as postman, React, SQL, Git, and Algorithms/data structures. ",,,,,,,,,,
2021-08-31 18:36:33,Student_14,An INTROVERT,An effective manager,4,4,Work out a compromise,"Shy,Loner",No Knowledge,Beginner,Beginner,Comfortable,Expert,Comfortable,Comfortable,No Knowledge,No Knowledge,No Knowledge,Beginner,Experienced,Union Pacific PST,"Game development has always been a big interest for me, and it's the industry I'm planning to go into after I graduate. Despite not being a commercially available game per se, this project is very much game development, and it's also in my engine of choice (Unity) so I'm definitely able to contribute effectively here. I've done work coding save/load systems for games before as well.",NASA/JPL,"Space, and especially space missions, have been something I've been super interested in since I was really young. Being able to combine my passion for space with my knowledge of programming and math would be a great opportunity.",L3Harris,Similar reasons to me wanting to do the NASA project - I'm a big space nerd and I'd love to be able to combine space stuff with programming and math.,"BI Inc., #2","Although I'm not super into VR myself, I am interested in developing games and simulations in Unity/Unreal, seeing as I'm planning to go into game development after I graduate. Plus I might want to add VR support to my games in the future so developing VR apps would be a valuable experience for me.",Northrop Grumman,"AI and quantum computing are both things that are quite interesting to me. I'd love to explore both of them, so I think this project would be an interesting thing for me to work on.",,,,,,,,,,
2021-08-31 19:38:22,Student_15,Neither -- Borderline,An effective manager,5,4,Work out a compromise,"Shy,Friendly",Comfortable,Beginner,Beginner,Experienced,Experienced,Comfortable,Experienced,No Knowledge,Beginner,No Knowledge,Comfortable,Experienced,NASA/JPL,"I have a strong interest in space exploration and a desire to contribute to that area, and working with NASA/JPL would be a wonderful opportunity to make an impact in that field, while gaining valuable experience. Having completed a prior software engineering internship in-industry where I worked primarily with Java, and having strong math and geometry skills, I believe I have the skillset requested by the project sponsors, and the ability to make valuable contributions to their effort.",Lockheed-Martin,"I am interested in gaining experience working with big data processing and Machine Learning, while also continuing to develop other areas of my software engineering talents (architecting and building APIs, user interfaces, etc) and Lockheed's project sound's like a perfect opportunity to do so. I have plenty of prior experience building backend APIs with Java, building front-end interfaces in React, and drafting and writing systems design documents and diagrams, making me a perfect team member for this project.",Northrop Grumman,"As previously stated, I have a large interest in gaining experience working with Machine Learning, and Quantum Computing and embedded programming also sound like very interesting areas to work on throughout my capstone. Northrop Grumman's project will give me the opportunity to work on extremely cutting-edge areas of software development I previously haven't been exposed to.",L3Harris,"Working with real-world physical data from optical and radar sensors, and writing software to process and react to this data sounds incredibly interesting.",CU Psychology Department,"Working with mobile app development would be a great opportunity to explore an area of software development that, until now, I have limited experience with.",,,,,,,,,,
2021-08-31 19:42:38,Student_16,Neither -- Borderline,A natural leader,4,4,Work out a compromise,"Shy,Friendly",Comfortable,Comfortable,Comfortable,Experienced,Beginner,Comfortable,Comfortable,No Knowledge,No Knowledge,Beginner,Comfortable,Experienced,Lockheed-Martin,"Lockheed-Martin's project sounds like a great experience to have for working in Industry, and it uses several skills which I am comfortable with like AI/ML modeling, Python, Angular, React, and system engineering, and several skills I would like to gain more knowledge in like Java and/or C#.  The topic is also relevant and interesting to see results for, which I find motivating.  ",NASA/JPL,"This project is very interesting to me because of it's topic in space flight and NASA's mission.  To develop something that might be used for space exploration would be a dream come true, and I would be willing to work very hard on this challenging project and it's requirements to ensure a quality product at the end.  ",iSAT,"I have experience developing a web application, and the topic is how it will be used for education purposes to teach coding through BBC Microbit.     It will be an interesting challenge to combine all these skills into a finished product that can help teach others, and it has great opportunities to learn new skills.  ",UCAR,"I have experience in developing web applications, and I think it would be very interesting to turn a physical exhibit into a learning experience online.  Also, the topic of climate change is very one of todays biggest challenges, and I would be very interested in learning more about the science and models around it in order to educate people on the topic.  I have experience with many of the requirements as well, such as JavaScript frameworks, API's, UI design, and developing accessible websites. ","BI Inc., #1","This project sounds interesting to me, as it analysis different solutions to an existing process to obtain accurate results versus the power consumption of computation for a solution in given conditions, to find the best one given certain criteria.  It also utilizes a lot of skills I am already comfortable with, like C++, Python, and Google APIs.   Finally, this project would be useful to polish my skills for industry as it seems like it's concepts have wide applications. ",,,,,,,,,,
2021-08-31 20:15:32,Student_17,An EXTROVERT,An effective manager,5,3,Work out a compromise,"Friendly,Enthusiastic and outgoing",Comfortable,Comfortable,Comfortable,Experienced,No Knowledge,Expert,Expert,Beginner,Beginner,Beginner,Experienced,Experienced,Lockheed-Martin,"This project to me is extremely inspiring and something that I would put an immense amount of effort towards. Lockheed Martin is a premiere global security and aerospace company and knowing that I could work on a project that could make a worldwide impact is incredible to me. This project combines a plethora of my skills that I have not seen correlate with each other and I would love to see how they work together. I do a lot of work on my own time with AI/ML, working on generative adversarial networks. My current internship heavily focuses on UI/UX design. I feel as though I have very solid skills in a multitude of fields and would love to apply all of my passions towards one project. Another one of the projects I did in my internship this summer focused on predictive analytics, which is a key component in this project, as we are aiming to mitigate risks early on with Lockheed Martin’s suppliers. I feel as though I possess a lot of the skills in this project as well as a passion of the different elements so that I would provide a helpful, hardworking teammate to others.",NASA/JPL,NASA’s Jet Propulsion Laboratory is such an incredible exploration that fascinates me. The JPL explores what humans cannot yet reach. This correlates strongly with my interest of space - I am currently taking The Search for Life in the Universe which explores the possibility of civilizations existing outside our planet. Working for NASA would truly be a dream come true and something that I would dedicate myself fully to. Our goal in this project is to calculate data structures containing geometric information and then use these calculations to create coverage and resolution maps. The reason I fully went in to computer science in the first place was my passion for math and geometry. Math is my favorite subject in school and I feel like I would be extremely passionate about the work I am doing in addition to working for a dream company. I think I would be a perfect candidate for this position and truly challenge myself to provide NASA with an amazing deliverable.,UCAR,"UCAR is something that really peaks my interest as I am really passionate about the planet and the desperate research we need as the effects of climate change increase. Humans have such an impact on climate change and need to see the impact of their actions. Although the UCAR provides a physical exhibit for some to view, I would love to apply my knowledge in computer science so that those without the ability to view the exhibit can still experience it and gain knowledge. I have a lot of experience developing web pages- as well as UI/UX experience and feel as though I could contribute very strongly to this project. I love the mission behind this project and feel like it would be very beneficial to society to be involved in it.",iSAT,"I would absolutely love to work on this project as it combines my interests for AI with my experience in UI. I have a UI/UX design internship for the summer and it is continuing into this school year. I do a lot of UI research and possess a lot of knowledge, skill, and passion in this subject (I also have a minor in Creative Technology and Design). I also work on Artificial Intelligence/Machine Learning tools in my free time, as I currently do a side project on Generative Adversarial Networks. AI is probably my favorite class I have taken in my time at CU and would love to apply my love for the subject in something as beneficial as this project. The use of AI for good and teaching in this project is truly inspiring to me and it means a lot to me that my work would be used in the classroom. Knowing my work would make such an impact as to go for teaching students is incredible and I really look forward to the opportunity to work on this project. ","BI Inc., #1","Throughout the internships that I have worked, I have seen cloud computing become a great importance within technology and businesses. Adding GPS to an IoT device is almost crucial in today’s world as GPS is used in almost every application and interface. Being able to work within this cutting edge technology would provide great experience as well as passion that I have discovered in my internships. GPS is such an important component of today’s world and it's very exciting for me to have the opportunity to work within this field. C++, Python, and use of APIs are my greatest strengths and I believe that I would be able to apply these skills thoroughly in this project. BI Inc. also incorporates the agile methodology into their work which is what I have been using in my current internship - I have extensive experience using Rally, Miro, and other components of agile methodology. ",,,,,,,,,,
2021-08-31 20:32:07,Student_18,An INTROVERT,"A follower,An effective manager",5,3,Avoid conflict. I give in and do it their way.,"Shy,Friendly",Beginner,Experienced,Beginner,Comfortable,Comfortable,Comfortable,Beginner,No Knowledge,Beginner,Beginner,Comfortable,Comfortable,Loopsketch,"The idea sounds really cool + working on a startup project is very new to me and I think it would prove useful experience. From their document, the team seems cool too.",CU Leeds School of Business,"A lot of this sounds like things heavily involved in data analysis, which is a lot of what I'm used to at my job. I think I'd be good for what they're asking.",Caliber Public Safety,"I've worked pretty extensively with some of the tools already implemented into the deliverable, and the idea sounds both interesting and extremely useful in the modern day.",iSAT,"I only worked a bit with MongoDB in database class, so I'd be curious to work with it more extensively. Same goes for Node.js, I've worked with it somewhat and would be interested in diving deeper.",Zayo,"While I have some of these proficiencies (Python, Node.js, Javascript, and more), I haven't worked too deeply with APIs and it sounds interesting. I'm a fast learner, so I think I'd be able to keep up.",,,,,,,,,,
2021-08-31 20:43:36,Student_19,Neither -- Borderline,"A natural leader,An effective manager",4,3,Work out a compromise,Friendly,No Knowledge,Beginner,No Knowledge,Comfortable,Beginner,Experienced,Experienced,Beginner,No Knowledge,No Knowledge,Comfortable,Experienced,Loopsketch,"As a musician myself, I feel like I could really enjoy a project developing an app for musicians. I feel like I would have a lot of fun working on a project like this.",CU Leeds School of Business,Working with financing and the school of business would be neat. The idea of working on multiple projects would also be a really good way to gain experience,Caliber Public Safety,Getting the chance to work with professional Software Engineers on a project and contributing to the community would make of a very enjoyable project.,iSAT,"As a daughter of a teacher, I have seen how technology can impact learning and I would love to be a part of that.",Zayo,Working with a company like Zayo would be really fun and a great experience.,,,,,,,,,,
2021-08-31 20:57:51,Student_20,Neither -- Borderline,None of the above,3,4,Work out a compromise,Friendly,Comfortable,Comfortable,Beginner,Beginner,Comfortable,Beginner,Beginner,Beginner,No Knowledge,No Knowledge,Comfortable,Comfortable,Loopsketch,I find this project to be the most interesting because I really like the premise of this product. Being able to record and mix my own music is something I find incredibly exciting. ,CU Leeds School of Business,Being able to work with various other students in collaborative effort I believe will be an enjoyable environment for me. I haven't done collaborative work in such a large scale before so I find this rather exciting. ,Caliber Public Safety,I hate criminals so being able to track where they last struck helps me with fighting crime. ,iSAT,Helping students to be able to learn better is something that is a very noble goal. Working alongside this project means that I will be contributing to the aid of future learning generations. ,Zayo,"Network Engineering on this project is something I'm very interested in. I am a computer engineering minor, and network systems is something that sounds very cool to me. ",,,,,,,,,,
